date,district,source,value
2020-04-12 00:30:52,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,36.4
2020-04-12 00:30:52,Northern Owens Valley,Pleasant Valley Outflow,224.3
2020-04-12 00:30:52,Northern Owens Valley,Baker Ck. At LA Station Flow,9.2
2020-04-12 00:30:52,Northern Owens Valley,Big Pine Ck. USGS Flow,14.0
2020-04-12 00:30:52,Northern Owens Valley,O.R. Below Big Pine,304.9
2020-04-12 00:30:52,Northern Owens Valley,Fish Springs At RR Flow,31.9
2020-04-12 00:30:52,Northern Owens Valley,Tinemaha Reservoir Outflow,301.5
2020-04-12 00:30:52,Northern Owens Valley,Bishop Creek Through Plant 6,79.1
2020-04-12 00:30:52,Northern Owens Valley,Bishop Creek Around Plant 6,3.4
2020-04-12 00:30:52,Lower Owens River Project,LORP Intake Flow,44.0
2020-04-12 00:30:52,Lower Owens River Project,LORP at Mazourka Canyon Road,47.0
2020-04-12 00:30:52,Lower Owens River Project,LORP at Reinhackle Springs,55.0
2020-04-12 00:30:52,Lower Owens River Project,LORP Above Pumpstation,73.0
2020-04-12 00:30:52,Lower Owens River Project,LORP At Pump Station Discharge Flow,48.0
2020-04-12 00:30:52,Mono Basin,Lee Vining Intake Above Flow,28.4
2020-04-12 00:30:52,Mono Basin,Lee Vining Intake Below Flow,24.9
2020-04-12 00:30:52,Mono Basin,Walker Ck. Above Conduit Flow,8.0
2020-04-12 00:30:52,Mono Basin,L.V. Conduit Below Intake Flow,0.3
2020-04-12 00:30:52,Mono Basin,Walker Ck. Under Conduit Flow,5.0
2020-04-12 00:30:52,Mono Basin,Parker Ck. Under Conduit Flow,6.0
2020-04-12 00:30:52,Mono Basin,Parker Ck. Above Conduit Flow,6.0
2020-04-12 00:30:52,Mono Basin,Grant Lk. Spill Flow,0.0
2020-04-12 00:30:52,Mono Basin,Mono Gate 1 Return Ditch Flow,33.2
2020-04-12 00:30:52,Mono Basin,Grant Lk. Outflow,45.8
2020-04-12 00:30:52,Mono Basin,Rush Ck. at Damsite Flow,65.6
2020-04-12 00:30:52,Mono Basin,Flow to West Portal,0.0
2020-04-12 00:30:52,Southern District,Haiwee LAA #2 Current Flow,44.7
2020-04-12 00:30:52,Southern District,Haiwee LAA #1 Current Flow,300.8
2020-04-12 00:30:52,Southern District,LAA #1 Flow at Fairmont Reservoir,515.7
2020-04-12 00:30:52,Southern District,LAA #2 Flow at Fairmont Res.,61.5
2020-04-12 00:30:52,Southern District,Bouquet Reservoir Inflow,23.5
2020-04-12 00:30:52,Southern District,Bouquet Reservoir Outflow,0.7
2020-04-12 00:30:52,Southern District,LAA #1 at Soledad Flow,0.0
2020-04-12 00:30:52,Southern District,LAA #2 at Soledad Flow,297.9
2020-04-12 00:30:52,Long Valley,East Portal Flow,15.0
2020-04-12 00:30:52,Long Valley,OR Below EP Flow,65.0
2020-04-12 00:30:52,Long Valley,Hot Ck.at Hwy. Flow,10.0
2020-04-12 00:30:52,Long Valley,McGee Ck. Lower Sta. Flow,11.8
2020-04-12 00:30:52,Long Valley,Long Valley Current Outflow,0.0
2020-04-12 00:30:52,Long Valley,Rock Ck. Div. Flow,7.4
2020-04-12 00:30:52,Long Valley,Upper Gorge Total Release,50.0
2020-04-12 00:30:52,Long Valley,Release at Middle Gorge,0.0
2020-04-12 00:30:52,Southern Owens Valley,Tinemaha Reservoir Outflow,301.5
2020-04-12 00:30:52,Southern Owens Valley,Indep. Ck. At Junction Flow,6.4
2020-04-12 00:30:52,Southern Owens Valley,LAA at Alabama Flow,282.0
2020-04-12 00:30:52,Southern Owens Valley,Cottonwood Ck. At LAA Flow,12.0
2020-04-12 00:30:52,Southern Owens Valley,LAA at Cottonwood Flow,325.0
2020-04-12 00:30:52,Southern Owens Valley,Haiwee LAA #1 Current Flow,300.8
2020-04-12 00:30:52,Southern Owens Valley,Haiwee LAA #2 Current Flow,44.7
2020-04-12 00:30:52,Southern Owens Valley,Reinhackel Flow,1.8
2020-04-12 00:30:52,Southern Owens Valley,Lubkin Spillgate Outflow,0.0
2020-04-12 00:30:52,Southern Owens Valley,Cartago Spillgate Outflow,0.0
2020-04-12 00:30:53,Northern Owens Valley,Pleasant Valley Elevation,4384.6
2020-04-12 00:30:53,Mono Basin,Mono Lk. Elevation,6382.3
2020-04-12 00:30:53,Mono Basin,Grant Lk. Elevation,7110.9
2020-04-12 00:30:53,Southern District,S. Haiwee Reservoir Elevation,3733.7
2020-04-12 00:30:53,Southern District,Fairmont Reservoir Elevation,3026.5
2020-04-12 00:30:53,Southern District,Bouquet Reservoir Elevation,2988.0
2020-04-12 00:30:53,Long Valley,Long Valley Elevation,6774.8
2020-04-12 00:30:53,Southern Owens Valley,LAA at Alabama Level,6.5
2020-04-12 00:30:53,Southern Owens Valley,LAA at Alabama Water Temp,59.1
