date,district,source,value
2022-06-21 00:39:14,Mono Basin,Lee Vining Intake Above Flow,33.3
2022-06-21 00:39:14,Mono Basin,Lee Vining Intake Below Flow,29.4
2022-06-21 00:39:14,Mono Basin,Walker Ck. Above Conduit Flow,4.0
2022-06-21 00:39:14,Mono Basin,L.V. Conduit Below Intake Flow,29.1
2022-06-21 00:39:14,Mono Basin,Walker Ck. Under Conduit Flow,7.0
2022-06-21 00:39:14,Mono Basin,Parker Ck. Under Conduit Flow,10.0
2022-06-21 00:39:14,Mono Basin,Parker Ck. Above Conduit Flow,12.0
2022-06-21 00:39:14,Mono Basin,Grant Lk. Spill Flow,0.0
2022-06-21 00:39:14,Mono Basin,Mono Gate 1 Return Ditch Flow,72.7
2022-06-21 00:39:14,Mono Basin,Grant Lk. Outflow,74.2
2022-06-21 00:39:14,Mono Basin,Rush Ck. at Damsite Flow,157.8
2022-06-21 00:39:14,Mono Basin,Flow to West Portal,0.0
2022-06-21 00:39:14,Long Valley,East Portal Flow,11.0
2022-06-21 00:39:14,Long Valley,OR Below EP Flow,50.0
2022-06-21 00:39:14,Long Valley,Hot Ck.at Hwy. Flow,20.0
2022-06-21 00:39:14,Long Valley,McGee Ck. Lower Sta. Flow,11.8
2022-06-21 00:39:14,Long Valley,Long Valley Current Outflow,56.4
2022-06-21 00:39:14,Long Valley,Rock Ck. Div. Flow,0.0
2022-06-21 00:39:14,Long Valley,Upper Gorge Total Release,55.0
2022-06-21 00:39:14,Long Valley,Release at Middle Gorge,0.0
2022-06-21 00:39:14,Lower Owens River Project,LORP Intake Flow,81.0
2022-06-21 00:39:14,Lower Owens River Project,LORP at Mazourka Canyon Road,62.0
2022-06-21 00:39:14,Lower Owens River Project,LORP at Reinhackle Springs,57.0
2022-06-21 00:39:14,Lower Owens River Project,LORP Above Pumpstation,36.0
2022-06-21 00:39:14,Lower Owens River Project,LORP At Pump Station Discharge Flow,33.0
2022-06-21 00:39:14,Southern Owens Valley,Tinemaha Reservoir Outflow,202.2
2022-06-21 00:39:14,Southern Owens Valley,Indep. Ck. At Junction Flow,11.5
2022-06-21 00:39:14,Southern Owens Valley,LAA at Alabama Flow,159.0
2022-06-21 00:39:14,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2022-06-21 00:39:14,Southern Owens Valley,LAA at Cottonwood Flow,140.0
2022-06-21 00:39:14,Southern Owens Valley,Haiwee LAA #1 Current Flow,43.1
2022-06-21 00:39:14,Southern Owens Valley,Haiwee LAA #2 Current Flow,0.0
2022-06-21 00:39:14,Southern Owens Valley,Reinhackel Flow,1.5
2022-06-21 00:39:14,Southern Owens Valley,Lubkin Spillgate Outflow,55.2
2022-06-21 00:39:14,Southern Owens Valley,Cartago Spillgate Outflow,50.9
2022-06-21 00:39:14,Southern District,Haiwee LAA #2 Current Flow,0.0
2022-06-21 00:39:14,Southern District,Haiwee LAA #1 Current Flow,43.1
2022-06-21 00:39:14,Southern District,LAA #1 Flow at Fairmont Reservoir,0.5
2022-06-21 00:39:14,Southern District,LAA #2 Flow at Fairmont Res.,0.0
2022-06-21 00:39:14,Southern District,Bouquet Reservoir Inflow,36.2
2022-06-21 00:39:14,Southern District,Bouquet Reservoir Outflow,0.5
2022-06-21 00:39:14,Southern District,LAA #1 at Soledad Flow,0.2
2022-06-21 00:39:14,Southern District,LAA #2 at Soledad Flow,0.1
2022-06-21 00:39:14,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,32.6
2022-06-21 00:39:14,Northern Owens Valley,Pleasant Valley Outflow,228.6
2022-06-21 00:39:14,Northern Owens Valley,Baker Ck. At LA Station Flow,3.1
2022-06-21 00:39:14,Northern Owens Valley,Big Pine Ck. USGS Flow,28.7
2022-06-21 00:39:14,Northern Owens Valley,O.R. Below Big Pine,199.4
2022-06-21 00:39:14,Northern Owens Valley,Fish Springs At RR Flow,33.1
2022-06-21 00:39:14,Northern Owens Valley,Tinemaha Reservoir Outflow,202.2
2022-06-21 00:39:14,Northern Owens Valley,Bishop Creek Through Plant 6,0.1
2022-06-21 00:39:14,Northern Owens Valley,Bishop Creek Around Plant 6,67.0
2022-06-21 00:39:15,Mono Basin,Mono Lk. Elevation,6379.2
2022-06-21 00:39:15,Mono Basin,Grant Lk. Elevation,7098.4
2022-06-21 00:39:15,Long Valley,Long Valley Elevation,6768.1
2022-06-21 00:39:15,Southern Owens Valley,LAA at Alabama Level,5.3
2022-06-21 00:39:15,Southern Owens Valley,LAA at Alabama Water Temp,67.5
2022-06-21 00:39:15,Southern Owens Valley,LAA at Cottonwood Level,7.0
2022-06-21 00:39:15,Southern Owens Valley,LAA at Cotton. Water Temp,66.2
2022-06-21 00:39:15,Southern Owens Valley,N. Haiwee Elevation,3757.2
2022-06-21 00:39:15,Southern Owens Valley,S. Haiwee Reservoir Elevation,3730.3
2022-06-21 00:39:15,Southern District,S. Haiwee Reservoir Elevation,3730.3
2022-06-21 00:39:15,Southern District,Fairmont Reservoir Elevation,3028.4
2022-06-21 00:39:15,Southern District,Bouquet Reservoir Elevation,2989.4
2022-06-21 00:39:15,Northern Owens Valley,Pleasant Valley Elevation,4383.1
2022-06-21 01:39:09,Mono Basin,Lee Vining Intake Above Flow,33.3
2022-06-21 01:39:09,Mono Basin,Lee Vining Intake Below Flow,29.4
2022-06-21 01:39:09,Mono Basin,Walker Ck. Above Conduit Flow,4.0
2022-06-21 01:39:09,Mono Basin,L.V. Conduit Below Intake Flow,29.1
2022-06-21 01:39:09,Mono Basin,Walker Ck. Under Conduit Flow,7.0
2022-06-21 01:39:09,Mono Basin,Parker Ck. Under Conduit Flow,10.0
2022-06-21 01:39:09,Mono Basin,Parker Ck. Above Conduit Flow,12.0
2022-06-21 01:39:09,Mono Basin,Grant Lk. Spill Flow,0.0
2022-06-21 01:39:09,Mono Basin,Mono Gate 1 Return Ditch Flow,72.7
2022-06-21 01:39:09,Mono Basin,Grant Lk. Outflow,74.2
2022-06-21 01:39:09,Mono Basin,Rush Ck. at Damsite Flow,157.8
2022-06-21 01:39:09,Mono Basin,Flow to West Portal,0.0
2022-06-21 01:39:09,Long Valley,East Portal Flow,11.0
2022-06-21 01:39:09,Long Valley,OR Below EP Flow,50.0
2022-06-21 01:39:09,Long Valley,Hot Ck.at Hwy. Flow,20.0
2022-06-21 01:39:09,Long Valley,McGee Ck. Lower Sta. Flow,11.8
2022-06-21 01:39:09,Long Valley,Long Valley Current Outflow,56.4
2022-06-21 01:39:09,Long Valley,Rock Ck. Div. Flow,0.0
2022-06-21 01:39:09,Long Valley,Upper Gorge Total Release,55.0
2022-06-21 01:39:09,Long Valley,Release at Middle Gorge,0.0
2022-06-21 01:39:09,Lower Owens River Project,LORP Intake Flow,81.0
2022-06-21 01:39:09,Lower Owens River Project,LORP at Mazourka Canyon Road,64.0
2022-06-21 01:39:09,Lower Owens River Project,LORP at Reinhackle Springs,57.0
2022-06-21 01:39:09,Lower Owens River Project,LORP Above Pumpstation,36.0
2022-06-21 01:39:09,Lower Owens River Project,LORP At Pump Station Discharge Flow,32.0
2022-06-21 01:39:09,Southern Owens Valley,Tinemaha Reservoir Outflow,201.4
2022-06-21 01:39:09,Southern Owens Valley,Indep. Ck. At Junction Flow,11.5
2022-06-21 01:39:09,Southern Owens Valley,LAA at Alabama Flow,159.0
2022-06-21 01:39:09,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2022-06-21 01:39:09,Southern Owens Valley,LAA at Cottonwood Flow,140.0
2022-06-21 01:39:09,Southern Owens Valley,Haiwee LAA #1 Current Flow,49.2
2022-06-21 01:39:09,Southern Owens Valley,Haiwee LAA #2 Current Flow,0.0
2022-06-21 01:39:09,Southern Owens Valley,Reinhackel Flow,1.6
2022-06-21 01:39:09,Southern Owens Valley,Lubkin Spillgate Outflow,43.2
2022-06-21 01:39:09,Southern Owens Valley,Cartago Spillgate Outflow,45.0
2022-06-21 01:39:09,Southern District,Haiwee LAA #2 Current Flow,0.0
2022-06-21 01:39:09,Southern District,Haiwee LAA #1 Current Flow,49.2
2022-06-21 01:39:09,Southern District,LAA #1 Flow at Fairmont Reservoir,0.5
2022-06-21 01:39:09,Southern District,LAA #2 Flow at Fairmont Res.,0.0
2022-06-21 01:39:09,Southern District,Bouquet Reservoir Inflow,35.6
2022-06-21 01:39:09,Southern District,Bouquet Reservoir Outflow,0.5
2022-06-21 01:39:09,Southern District,LAA #1 at Soledad Flow,0.2
2022-06-21 01:39:09,Southern District,LAA #2 at Soledad Flow,0.1
2022-06-21 01:39:09,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,32.6
2022-06-21 01:39:09,Northern Owens Valley,Pleasant Valley Outflow,227.7
2022-06-21 01:39:09,Northern Owens Valley,Baker Ck. At LA Station Flow,3.1
2022-06-21 01:39:09,Northern Owens Valley,Big Pine Ck. USGS Flow,28.7
2022-06-21 01:39:09,Northern Owens Valley,O.R. Below Big Pine,199.4
2022-06-21 01:39:09,Northern Owens Valley,Fish Springs At RR Flow,33.1
2022-06-21 01:39:09,Northern Owens Valley,Tinemaha Reservoir Outflow,201.4
2022-06-21 01:39:09,Northern Owens Valley,Bishop Creek Through Plant 6,0.1
2022-06-21 01:39:09,Northern Owens Valley,Bishop Creek Around Plant 6,67.0
2022-06-21 01:39:10,Mono Basin,Mono Lk. Elevation,6379.2
2022-06-21 01:39:10,Mono Basin,Grant Lk. Elevation,7098.5
2022-06-21 01:39:10,Long Valley,Long Valley Elevation,6768.1
2022-06-21 01:39:10,Southern Owens Valley,LAA at Alabama Level,5.3
2022-06-21 01:39:10,Southern Owens Valley,LAA at Alabama Water Temp,66.8
2022-06-21 01:39:10,Southern Owens Valley,LAA at Cottonwood Level,7.0
2022-06-21 01:39:10,Southern Owens Valley,LAA at Cotton. Water Temp,66.0
2022-06-21 01:39:10,Southern Owens Valley,N. Haiwee Elevation,3757.2
2022-06-21 01:39:10,Southern Owens Valley,S. Haiwee Reservoir Elevation,3730.3
2022-06-21 01:39:10,Southern District,S. Haiwee Reservoir Elevation,3730.3
2022-06-21 01:39:10,Southern District,Fairmont Reservoir Elevation,3028.4
2022-06-21 01:39:10,Southern District,Bouquet Reservoir Elevation,2989.4
2022-06-21 01:39:10,Northern Owens Valley,Pleasant Valley Elevation,4382.9
2022-06-21 02:39:18,Mono Basin,Lee Vining Intake Above Flow,33.3
2022-06-21 02:39:18,Mono Basin,Lee Vining Intake Below Flow,29.4
2022-06-21 02:39:18,Mono Basin,Walker Ck. Above Conduit Flow,4.0
2022-06-21 02:39:18,Mono Basin,L.V. Conduit Below Intake Flow,29.1
