date,district,source,value
2017-12-16 00:42:20,Mono Basin,Lee Vining Intake Above Flow,30.6
2017-12-16 00:42:20,Mono Basin,Lee Vining Intake Below Flow,27.0
2017-12-16 00:42:20,Mono Basin,Walker Ck. Above Conduit Flow,3.0
2017-12-16 00:42:20,Mono Basin,L.V. Conduit Below Intake Flow,0.6
2017-12-16 00:42:20,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2017-12-16 00:42:20,Mono Basin,Parker Ck. Under Conduit Flow,6.0
2017-12-16 00:42:20,Mono Basin,Parker Ck. Above Conduit Flow,6.0
2017-12-16 00:42:20,Mono Basin,Grant Lk. Spill Flow,0.0
2017-12-16 00:42:20,Mono Basin,Mono Gate 1 Return Ditch Flow,26.9
2017-12-16 00:42:20,Mono Basin,Grant Lk. Outflow,36.7
2017-12-16 00:42:20,Mono Basin,Rush Ck. at Damsite Flow,24.1
2017-12-16 00:42:20,Mono Basin,Flow to West Portal,0.0
2017-12-16 00:42:20,Southern District,Haiwee LAA #2 Current Flow,45.3
2017-12-16 00:42:20,Southern District,Haiwee LAA #1 Current Flow,399.4
2017-12-16 00:42:20,Southern District,LAA #1 Flow at Fairmont Reservoir,410.0
2017-12-16 00:42:20,Southern District,LAA #2 Flow at Fairmont Res.,0.0
2017-12-16 00:42:20,Southern District,Bouquet Reservoir Inflow,122.3
2017-12-16 00:42:20,Southern District,Bouquet Reservoir Outflow,0.5
2017-12-16 00:42:20,Southern District,LAA #1 at Soledad Flow,313.1
2017-12-16 00:42:20,Southern District,LAA #2 at Soledad Flow,0.0
2017-12-16 00:42:20,Lower Owens River Project,LORP Intake Flow,42.0
2017-12-16 00:42:20,Lower Owens River Project,LORP at Mazourka Canyon Road,41.0
2017-12-16 00:42:20,Lower Owens River Project,LORP at Reinhackle Springs,48.0
2017-12-16 00:42:20,Lower Owens River Project,LORP Above Pumpstation,55.0
2017-12-16 00:42:20,Lower Owens River Project,LORP At Pump Station Discharge Flow,47.0
2017-12-16 00:42:20,Southern Owens Valley,Tinemaha Reservoir Outflow,474.7
2017-12-16 00:42:20,Southern Owens Valley,Indep. Ck. At Junction Flow,4.2
2017-12-16 00:42:20,Southern Owens Valley,LAA at Alabama Flow,521.0
2017-12-16 00:42:20,Southern Owens Valley,Cottonwood Ck. At LAA Flow,1.0
2017-12-16 00:42:20,Southern Owens Valley,LAA at Cottonwood Flow,579.0
