date,district,source,value
2020-09-16 08:17:59,Southern Owens Valley,Tinemaha Elevation,3862.1
2020-09-16 08:17:59,Northern Owens Valley,Tinemaha Elevation,3862.1
2020-09-16 08:47:59,Southern Owens Valley,Tinemaha Elevation,3862.1
2020-09-16 08:47:59,Northern Owens Valley,Tinemaha Elevation,3862.1
2020-09-16 09:17:59,Southern Owens Valley,Tinemaha Elevation,3862.1
2020-09-16 09:17:59,Northern Owens Valley,Tinemaha Elevation,3862.1
2020-09-16 09:47:59,Southern Owens Valley,Tinemaha Elevation,3862.1
2020-09-16 09:47:59,Northern Owens Valley,Tinemaha Elevation,3862.1
2020-09-16 10:18:00,Southern Owens Valley,Tinemaha Elevation,3862.1
2020-09-16 10:18:00,Northern Owens Valley,Tinemaha Elevation,3862.1
2020-09-16 10:47:59,Southern Owens Valley,Tinemaha Elevation,3862.1
2020-09-16 10:47:59,Northern Owens Valley,Tinemaha Elevation,3862.1
2020-09-16 11:18:07,Southern Owens Valley,Tinemaha Elevation,3862.1
2020-09-16 11:18:07,Northern Owens Valley,Tinemaha Elevation,3862.1
2020-09-16 11:47:59,Southern Owens Valley,Tinemaha Elevation,3862.1
2020-09-16 11:47:59,Northern Owens Valley,Tinemaha Elevation,3862.1
2020-09-16 12:17:59,Northern Owens Valley,Tinemaha Elevation,3862.2
2020-09-16 12:17:59,Southern Owens Valley,Tinemaha Elevation,3862.2
2020-09-16 12:47:59,Northern Owens Valley,Tinemaha Elevation,3862.2
2020-09-16 12:47:59,Southern Owens Valley,Tinemaha Elevation,3862.2
2020-09-16 13:02:58,Southern Owens Valley,Cartago Spillgate Outflow,78.9
2020-09-16 13:17:58,Southern Owens Valley,Cartago Spillgate Outflow,78.9
2020-09-16 13:17:59,Northern Owens Valley,Tinemaha Elevation,3862.2
2020-09-16 13:17:59,Southern Owens Valley,Tinemaha Elevation,3862.2
2020-09-16 13:32:58,Southern Owens Valley,Cartago Spillgate Outflow,78.9
2020-09-16 13:47:58,Southern Owens Valley,Cartago Spillgate Outflow,78.9
2020-09-16 13:47:59,Northern Owens Valley,Tinemaha Elevation,3862.2
2020-09-16 13:47:59,Southern Owens Valley,Tinemaha Elevation,3862.2
2020-09-16 14:02:58,Southern Owens Valley,Tinemaha Reservoir Outflow,451.5
2020-09-16 14:02:58,Southern Owens Valley,Indep. Ck. At Junction Flow,43.9
2020-09-16 14:02:58,Southern Owens Valley,LAA at Alabama Flow,463.0
2020-09-16 14:02:58,Southern Owens Valley,Cottonwood Ck. At LAA Flow,1.0
2020-09-16 14:02:58,Southern Owens Valley,LAA at Cottonwood Flow,385.0
2020-09-16 14:02:58,Southern Owens Valley,Haiwee LAA #1 Current Flow,145.1
2020-09-16 14:02:58,Southern Owens Valley,Haiwee LAA #2 Current Flow,262.6
2020-09-16 14:02:58,Southern Owens Valley,Reinhackel Flow,2.0
2020-09-16 14:02:58,Southern Owens Valley,Lubkin Spillgate Outflow,62.1
2020-09-16 14:02:58,Southern Owens Valley,Cartago Spillgate Outflow,82.7
2020-09-16 14:02:58,Mono Basin,Lee Vining Intake Above Flow,24.7
2020-09-16 14:02:58,Mono Basin,Lee Vining Intake Below Flow,21.8
2020-09-16 14:02:58,Mono Basin,Walker Ck. Above Conduit Flow,2.0
2020-09-16 14:02:58,Mono Basin,L.V. Conduit Below Intake Flow,0.6
2020-09-16 14:02:58,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2020-09-16 14:02:58,Mono Basin,Parker Ck. Under Conduit Flow,6.0
2020-09-16 14:02:58,Mono Basin,Parker Ck. Above Conduit Flow,6.0
2020-09-16 14:02:58,Mono Basin,Grant Lk. Spill Flow,0.0
2020-09-16 14:02:58,Mono Basin,Mono Gate 1 Return Ditch Flow,28.3
2020-09-16 14:02:58,Mono Basin,Grant Lk. Outflow,42.6
2020-09-16 14:02:58,Mono Basin,Rush Ck. at Damsite Flow,15.4
2020-09-16 14:02:58,Mono Basin,Flow to West Portal,0.0
2020-09-16 14:02:58,Lower Owens River Project,LORP Intake Flow,70.0
2020-09-16 14:02:58,Lower Owens River Project,LORP at Mazourka Canyon Road,60.0
2020-09-16 14:02:58,Lower Owens River Project,LORP at Reinhackle Springs,55.0
2020-09-16 14:02:58,Lower Owens River Project,LORP Above Pumpstation,45.0
2020-09-16 14:02:58,Lower Owens River Project,LORP At Pump Station Discharge Flow,35.0
2020-09-16 14:02:58,Long Valley,East Portal Flow,12.0
2020-09-16 14:02:58,Long Valley,OR Below EP Flow,60.0
2020-09-16 14:02:58,Long Valley,Hot Ck.at Hwy. Flow,6.0
2020-09-16 14:02:58,Long Valley,McGee Ck. Lower Sta. Flow,9.2
2020-09-16 14:02:58,Long Valley,Long Valley Current Outflow,216.6
2020-09-16 14:02:58,Long Valley,Rock Ck. Div. Flow,0.0
2020-09-16 14:02:58,Long Valley,Upper Gorge Total Release,35.4
2020-09-16 14:02:58,Long Valley,Release at Middle Gorge,0.0
2020-09-16 14:02:58,Southern District,Haiwee LAA #2 Current Flow,262.6
2020-09-16 14:02:58,Southern District,Haiwee LAA #1 Current Flow,145.1
2020-09-16 14:02:58,Southern District,LAA #1 Flow at Fairmont Reservoir,144.6
2020-09-16 14:02:58,Southern District,LAA #2 Flow at Fairmont Res.,278.8
2020-09-16 14:02:58,Southern District,Bouquet Reservoir Inflow,88.8
2020-09-16 14:02:58,Southern District,Bouquet Reservoir Outflow,0.5
2020-09-16 14:02:58,Southern District,LAA #1 at Soledad Flow,137.0
2020-09-16 14:02:58,Southern District,LAA #2 at Soledad Flow,199.6
2020-09-16 14:02:58,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,30.0
2020-09-16 14:02:58,Northern Owens Valley,Pleasant Valley Outflow,596.0
2020-09-16 14:02:58,Northern Owens Valley,Baker Ck. At LA Station Flow,4.6
2020-09-16 14:02:58,Northern Owens Valley,Big Pine Ck. USGS Flow,18.2
2020-09-16 14:02:58,Northern Owens Valley,O.R. Below Big Pine,560.0
2020-09-16 14:02:58,Northern Owens Valley,Fish Springs At RR Flow,22.9
