date,district,source,value
2020-09-08 00:32:54,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,27.7
2020-09-08 00:32:54,Northern Owens Valley,Pleasant Valley Outflow,593.3
2020-09-08 00:32:54,Northern Owens Valley,Baker Ck. At LA Station Flow,4.0
2020-09-08 00:32:54,Northern Owens Valley,Big Pine Ck. USGS Flow,27.4
2020-09-08 00:32:54,Northern Owens Valley,O.R. Below Big Pine,531.6
2020-09-08 00:32:54,Northern Owens Valley,Fish Springs At RR Flow,20.8
2020-09-08 00:32:54,Northern Owens Valley,Tinemaha Reservoir Outflow,473.7
2020-09-08 00:32:54,Northern Owens Valley,Bishop Creek Through Plant 6,72.6
2020-09-08 00:32:54,Northern Owens Valley,Bishop Creek Around Plant 6,4.1
2020-09-08 00:32:54,Southern Owens Valley,Tinemaha Reservoir Outflow,473.7
2020-09-08 00:32:54,Southern Owens Valley,Indep. Ck. At Junction Flow,43.9
2020-09-08 00:32:54,Southern Owens Valley,LAA at Alabama Flow,457.0
2020-09-08 00:32:54,Southern Owens Valley,Cottonwood Ck. At LAA Flow,3.0
2020-09-08 00:32:54,Southern Owens Valley,LAA at Cottonwood Flow,448.0
2020-09-08 00:32:54,Southern Owens Valley,Haiwee LAA #1 Current Flow,143.6
2020-09-08 00:32:54,Southern Owens Valley,Haiwee LAA #2 Current Flow,264.4
2020-09-08 00:32:54,Southern Owens Valley,Reinhackel Flow,1.9
2020-09-08 00:32:54,Southern Owens Valley,Lubkin Spillgate Outflow,0.0
2020-09-08 00:32:54,Southern Owens Valley,Cartago Spillgate Outflow,0.1
2020-09-08 00:32:54,Long Valley,East Portal Flow,13.0
2020-09-08 00:32:54,Long Valley,OR Below EP Flow,61.0
2020-09-08 00:32:54,Long Valley,Hot Ck.at Hwy. Flow,4.0
2020-09-08 00:32:54,Long Valley,McGee Ck. Lower Sta. Flow,7.9
2020-09-08 00:32:54,Long Valley,Long Valley Current Outflow,195.0
2020-09-08 00:32:54,Long Valley,Rock Ck. Div. Flow,0.0
2020-09-08 00:32:54,Long Valley,Upper Gorge Total Release,35.4
2020-09-08 00:32:54,Long Valley,Release at Middle Gorge,0.0
2020-09-08 00:32:54,Mono Basin,Lee Vining Intake Above Flow,25.2
2020-09-08 00:32:54,Mono Basin,Lee Vining Intake Below Flow,21.4
2020-09-08 00:32:54,Mono Basin,Walker Ck. Above Conduit Flow,3.0
2020-09-08 00:32:54,Mono Basin,L.V. Conduit Below Intake Flow,0.7
2020-09-08 00:32:54,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2020-09-08 00:32:54,Mono Basin,Parker Ck. Under Conduit Flow,7.0
2020-09-08 00:32:54,Mono Basin,Parker Ck. Above Conduit Flow,7.0
2020-09-08 00:32:54,Mono Basin,Grant Lk. Spill Flow,0.0
2020-09-08 00:32:54,Mono Basin,Mono Gate 1 Return Ditch Flow,26.8
2020-09-08 00:32:54,Mono Basin,Grant Lk. Outflow,40.7
2020-09-08 00:32:54,Mono Basin,Rush Ck. at Damsite Flow,78.9
2020-09-08 00:32:54,Mono Basin,Flow to West Portal,0.0
2020-09-08 00:32:54,Southern District,Haiwee LAA #2 Current Flow,264.4
2020-09-08 00:32:54,Southern District,Haiwee LAA #1 Current Flow,143.6
2020-09-08 00:32:54,Southern District,LAA #1 Flow at Fairmont Reservoir,137.3
2020-09-08 00:32:54,Southern District,LAA #2 Flow at Fairmont Res.,278.4
2020-09-08 00:32:54,Southern District,Bouquet Reservoir Inflow,0.0
2020-09-08 00:32:54,Southern District,Bouquet Reservoir Outflow,0.3
2020-09-08 00:32:54,Southern District,LAA #1 at Soledad Flow,129.6
2020-09-08 00:32:54,Southern District,LAA #2 at Soledad Flow,272.4
2020-09-08 00:32:54,Lower Owens River Project,LORP Intake Flow,71.0
2020-09-08 00:32:54,Lower Owens River Project,LORP at Mazourka Canyon Road,56.0
2020-09-08 00:32:54,Lower Owens River Project,LORP at Reinhackle Springs,57.0
2020-09-08 00:32:54,Lower Owens River Project,LORP Above Pumpstation,43.0
2020-09-08 00:32:54,Lower Owens River Project,LORP At Pump Station Discharge Flow,33.0
2020-09-08 00:32:55,Northern Owens Valley,Pleasant Valley Elevation,4383.0
2020-09-08 00:32:55,Southern Owens Valley,LAA at Alabama Level,8.2
2020-09-08 00:32:55,Southern Owens Valley,LAA at Alabama Water Temp,68.7
2020-09-08 00:32:55,Southern Owens Valley,LAA at Cottonwood Level,9.4
2020-09-08 00:32:55,Southern Owens Valley,LAA at Cotton. Water Temp,70.0
2020-09-08 00:32:55,Southern Owens Valley,N. Haiwee Elevation,3757.0
2020-09-08 00:32:55,Southern Owens Valley,S. Haiwee Reservoir Elevation,3725.9
2020-09-08 00:32:55,Long Valley,Long Valley Elevation,6764.7
2020-09-08 00:32:55,Mono Basin,Mono Lk. Elevation,6381.4
2020-09-08 00:32:55,Mono Basin,Grant Lk. Elevation,7120.8
2020-09-08 00:32:55,Southern District,S. Haiwee Reservoir Elevation,3725.9
2020-09-08 00:32:55,Southern District,Fairmont Reservoir Elevation,3027.3
2020-09-08 00:32:55,Southern District,Bouquet Reservoir Elevation,2983.7
2020-09-08 01:32:54,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,27.7
2020-09-08 01:32:54,Northern Owens Valley,Pleasant Valley Outflow,592.4
2020-09-08 01:32:54,Northern Owens Valley,Baker Ck. At LA Station Flow,4.0
2020-09-08 01:32:54,Northern Owens Valley,Big Pine Ck. USGS Flow,27.4
2020-09-08 01:32:54,Northern Owens Valley,O.R. Below Big Pine,534.3
2020-09-08 01:32:54,Northern Owens Valley,Fish Springs At RR Flow,20.8
2020-09-08 01:32:54,Northern Owens Valley,Tinemaha Reservoir Outflow,472.9
2020-09-08 01:32:54,Northern Owens Valley,Bishop Creek Through Plant 6,72.6
2020-09-08 01:32:54,Northern Owens Valley,Bishop Creek Around Plant 6,4.1
2020-09-08 01:32:54,Southern Owens Valley,Tinemaha Reservoir Outflow,472.9
2020-09-08 01:32:54,Southern Owens Valley,Indep. Ck. At Junction Flow,43.9
2020-09-08 01:32:54,Southern Owens Valley,LAA at Alabama Flow,458.0
2020-09-08 01:32:54,Southern Owens Valley,Cottonwood Ck. At LAA Flow,3.0
2020-09-08 01:32:54,Southern Owens Valley,LAA at Cottonwood Flow,451.0
2020-09-08 01:32:54,Southern Owens Valley,Haiwee LAA #1 Current Flow,143.6
