date,district,source,value
2021-06-14 00:41:32,Southern Owens Valley,Tinemaha Reservoir Outflow,296.3
2021-06-14 00:41:32,Southern Owens Valley,Indep. Ck. At Junction Flow,5.0
2021-06-14 00:41:32,Southern Owens Valley,LAA at Alabama Flow,235.0
2021-06-14 00:41:32,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2021-06-14 00:41:32,Southern Owens Valley,LAA at Cottonwood Flow,245.0
2021-06-14 00:41:32,Southern Owens Valley,Haiwee LAA #1 Current Flow,71.1
2021-06-14 00:41:32,Southern Owens Valley,Haiwee LAA #2 Current Flow,23.1
2021-06-14 00:41:32,Southern Owens Valley,Reinhackel Flow,1.5
2021-06-14 00:41:32,Southern Owens Valley,Lubkin Spillgate Outflow,15.1
2021-06-14 00:41:32,Southern Owens Valley,Cartago Spillgate Outflow,25.4
2021-06-14 00:41:32,Lower Owens River Project,LORP Intake Flow,80.0
2021-06-14 00:41:32,Lower Owens River Project,LORP at Mazourka Canyon Road,64.0
2021-06-14 00:41:32,Lower Owens River Project,LORP at Reinhackle Springs,49.0
2021-06-14 00:41:32,Lower Owens River Project,LORP Above Pumpstation,37.0
2021-06-14 00:41:32,Lower Owens River Project,LORP At Pump Station Discharge Flow,34.0
2021-06-14 00:41:32,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,27.1
2021-06-14 00:41:32,Northern Owens Valley,Pleasant Valley Outflow,300.6
2021-06-14 00:41:32,Northern Owens Valley,Baker Ck. At LA Station Flow,3.4
2021-06-14 00:41:32,Northern Owens Valley,Big Pine Ck. USGS Flow,28.9
2021-06-14 00:41:32,Northern Owens Valley,O.R. Below Big Pine,284.5
2021-06-14 00:41:32,Northern Owens Valley,Fish Springs At RR Flow,22.8
2021-06-14 00:41:32,Northern Owens Valley,Tinemaha Reservoir Outflow,296.3
2021-06-14 00:41:32,Northern Owens Valley,Bishop Creek Through Plant 6,101.9
2021-06-14 00:41:32,Northern Owens Valley,Bishop Creek Around Plant 6,3.9
2021-06-14 00:41:32,Mono Basin,Lee Vining Intake Above Flow,28.4
2021-06-14 00:41:32,Mono Basin,Lee Vining Intake Below Flow,29.0
2021-06-14 00:41:32,Mono Basin,Walker Ck. Above Conduit Flow,6.0
2021-06-14 00:41:32,Mono Basin,L.V. Conduit Below Intake Flow,0.6
2021-06-14 00:41:32,Mono Basin,Walker Ck. Under Conduit Flow,8.0
2021-06-14 00:41:32,Mono Basin,Parker Ck. Under Conduit Flow,17.0
2021-06-14 00:41:32,Mono Basin,Parker Ck. Above Conduit Flow,17.0
