date,district,source,value
2021-08-14 09:25:58,Northern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 09:25:58,Southern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 09:55:58,Northern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 09:55:58,Southern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 10:25:58,Northern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 10:25:58,Southern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 10:55:58,Northern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 10:55:58,Southern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 11:25:58,Northern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 11:25:58,Southern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 11:55:58,Northern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 11:55:58,Southern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 12:25:58,Northern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 12:25:58,Southern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 12:55:58,Northern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 12:55:58,Southern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 13:25:58,Northern Owens Valley,Tinemaha Elevation,3862.0
2021-08-14 13:25:58,Southern Owens Valley,Tinemaha Elevation,3862.0
2021-08-14 13:55:58,Northern Owens Valley,Tinemaha Elevation,3862.0
2021-08-14 13:55:58,Southern Owens Valley,Tinemaha Elevation,3862.0
2021-08-14 14:10:57,Lower Owens River Project,LORP Intake Flow,75.0
2021-08-14 14:10:57,Lower Owens River Project,LORP at Mazourka Canyon Road,69.0
2021-08-14 14:10:57,Lower Owens River Project,LORP at Reinhackle Springs,52.0
2021-08-14 14:10:57,Lower Owens River Project,LORP Above Pumpstation,51.0
2021-08-14 14:10:57,Lower Owens River Project,LORP At Pump Station Discharge Flow,48.0
2021-08-14 14:10:57,Long Valley,East Portal Flow,11.0
2021-08-14 14:10:57,Long Valley,OR Below EP Flow,54.0
2021-08-14 14:10:57,Long Valley,Hot Ck.at Hwy. Flow,2.0
2021-08-14 14:10:57,Long Valley,McGee Ck. Lower Sta. Flow,5.4
2021-08-14 14:10:57,Long Valley,Long Valley Current Outflow,95.6
2021-08-14 14:10:57,Long Valley,Rock Ck. Div. Flow,0.0
2021-08-14 14:10:57,Long Valley,Upper Gorge Total Release,65.0
2021-08-14 14:10:57,Long Valley,Release at Middle Gorge,0.0
2021-08-14 14:10:57,Southern District,Haiwee LAA #2 Current Flow,41.2
2021-08-14 14:10:57,Southern District,Haiwee LAA #1 Current Flow,58.7
2021-08-14 14:10:57,Southern District,LAA #1 Flow at Fairmont Reservoir,124.7
2021-08-14 14:10:57,Southern District,LAA #2 Flow at Fairmont Res.,58.2
2021-08-14 14:10:57,Southern District,Bouquet Reservoir Inflow,89.2
2021-08-14 14:10:57,Southern District,Bouquet Reservoir Outflow,0.5
2021-08-14 14:10:57,Southern District,LAA #1 at Soledad Flow,76.6
2021-08-14 14:10:57,Southern District,LAA #2 at Soledad Flow,0.0
2021-08-14 14:10:58,Long Valley,Long Valley Elevation,6764.2
2021-08-14 14:10:58,Southern District,S. Haiwee Reservoir Elevation,3722.3
2021-08-14 14:10:58,Southern District,Fairmont Reservoir Elevation,3028.3
2021-08-14 14:10:58,Southern District,Bouquet Reservoir Elevation,2988.7
2021-08-14 14:25:57,Lower Owens River Project,LORP Intake Flow,75.0
2021-08-14 14:25:57,Lower Owens River Project,LORP at Mazourka Canyon Road,69.0
2021-08-14 14:25:57,Lower Owens River Project,LORP at Reinhackle Springs,52.0
2021-08-14 14:25:57,Lower Owens River Project,LORP Above Pumpstation,51.0
2021-08-14 14:25:57,Lower Owens River Project,LORP At Pump Station Discharge Flow,48.0
2021-08-14 14:25:57,Long Valley,East Portal Flow,11.0
2021-08-14 14:25:57,Long Valley,OR Below EP Flow,54.0
2021-08-14 14:25:57,Long Valley,Hot Ck.at Hwy. Flow,2.0
2021-08-14 14:25:57,Long Valley,McGee Ck. Lower Sta. Flow,5.4
2021-08-14 14:25:57,Long Valley,Long Valley Current Outflow,95.6
2021-08-14 14:25:57,Long Valley,Rock Ck. Div. Flow,0.0
2021-08-14 14:25:57,Long Valley,Upper Gorge Total Release,65.0
2021-08-14 14:25:57,Long Valley,Release at Middle Gorge,0.0
2021-08-14 14:25:57,Southern District,Haiwee LAA #2 Current Flow,41.2
2021-08-14 14:25:57,Southern District,Haiwee LAA #1 Current Flow,58.7
2021-08-14 14:25:57,Southern District,LAA #1 Flow at Fairmont Reservoir,119.9
2021-08-14 14:25:57,Southern District,LAA #2 Flow at Fairmont Res.,58.1
2021-08-14 14:25:57,Southern District,Bouquet Reservoir Inflow,93.7
2021-08-14 14:25:57,Southern District,Bouquet Reservoir Outflow,0.5
2021-08-14 14:25:57,Southern District,LAA #1 at Soledad Flow,76.6
2021-08-14 14:25:57,Southern District,LAA #2 at Soledad Flow,0.0
2021-08-14 14:25:58,Long Valley,Long Valley Elevation,6764.2
2021-08-14 14:25:58,Southern District,S. Haiwee Reservoir Elevation,3722.3
2021-08-14 14:25:58,Southern District,Fairmont Reservoir Elevation,3028.3
2021-08-14 14:25:58,Southern District,Bouquet Reservoir Elevation,2988.7
2021-08-14 14:25:58,Northern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 14:25:58,Southern Owens Valley,Tinemaha Elevation,3862.1
2021-08-14 14:40:57,Lower Owens River Project,LORP Intake Flow,75.0
2021-08-14 14:40:57,Lower Owens River Project,LORP at Mazourka Canyon Road,69.0
2021-08-14 14:40:57,Lower Owens River Project,LORP at Reinhackle Springs,52.0
2021-08-14 14:40:57,Lower Owens River Project,LORP Above Pumpstation,37.0
2021-08-14 14:40:57,Lower Owens River Project,LORP At Pump Station Discharge Flow,34.0
2021-08-14 14:40:57,Long Valley,East Portal Flow,11.0
2021-08-14 14:40:57,Long Valley,OR Below EP Flow,54.0
2021-08-14 14:40:57,Long Valley,Hot Ck.at Hwy. Flow,2.0
2021-08-14 14:40:57,Long Valley,McGee Ck. Lower Sta. Flow,5.4
2021-08-14 14:40:57,Long Valley,Long Valley Current Outflow,49.8
2021-08-14 14:40:57,Long Valley,Rock Ck. Div. Flow,0.0
2021-08-14 14:40:57,Long Valley,Upper Gorge Total Release,65.0
2021-08-14 14:40:57,Long Valley,Release at Middle Gorge,0.0
2021-08-14 14:40:57,Southern District,Haiwee LAA #2 Current Flow,41.2
2021-08-14 14:40:57,Southern District,Haiwee LAA #1 Current Flow,58.7
2021-08-14 14:40:57,Southern District,LAA #1 Flow at Fairmont Reservoir,119.9
2021-08-14 14:40:57,Southern District,LAA #2 Flow at Fairmont Res.,58.1
2021-08-14 14:40:57,Southern District,Bouquet Reservoir Inflow,94.4
2021-08-14 14:40:57,Southern District,Bouquet Reservoir Outflow,0.5
2021-08-14 14:40:57,Southern District,LAA #1 at Soledad Flow,76.6
2021-08-14 14:40:57,Southern District,LAA #2 at Soledad Flow,0.0
2021-08-14 14:40:58,Long Valley,Long Valley Elevation,6764.2
2021-08-14 14:40:58,Southern District,S. Haiwee Reservoir Elevation,3722.3
2021-08-14 14:40:58,Southern District,Fairmont Reservoir Elevation,3028.3
2021-08-14 14:40:58,Southern District,Bouquet Reservoir Elevation,2988.7
2021-08-14 14:55:57,Lower Owens River Project,LORP Intake Flow,75.0
2021-08-14 14:55:57,Lower Owens River Project,LORP at Mazourka Canyon Road,69.0
2021-08-14 14:55:57,Lower Owens River Project,LORP at Reinhackle Springs,53.0
2021-08-14 14:55:57,Lower Owens River Project,LORP Above Pumpstation,37.0
2021-08-14 14:55:57,Lower Owens River Project,LORP At Pump Station Discharge Flow,34.0
2021-08-14 14:55:57,Long Valley,East Portal Flow,11.0
