date,district,source,value
2018-08-17 08:45:39,Northern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 08:45:39,Southern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 09:15:39,Northern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 09:15:39,Southern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 09:45:39,Northern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 09:45:39,Southern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 10:15:39,Northern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 10:15:39,Southern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 10:45:39,Northern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 10:45:39,Southern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 11:15:39,Northern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 11:15:39,Southern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 11:45:40,Northern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 11:45:40,Southern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 12:15:40,Northern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 12:15:40,Southern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 12:45:40,Northern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 12:45:40,Southern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 13:15:40,Northern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 13:15:40,Southern Owens Valley,Tinemaha Elevation,3860.9
2018-08-17 13:45:40,Northern Owens Valley,Tinemaha Elevation,3861.0
2018-08-17 13:45:40,Southern Owens Valley,Tinemaha Elevation,3861.0
2018-08-17 14:15:39,Southern District,Haiwee LAA #2 Current Flow,269.8
2018-08-17 14:15:39,Southern District,Haiwee LAA #1 Current Flow,348.5
2018-08-17 14:15:39,Southern District,LAA #1 Flow at Fairmont Reservoir,391.3
2018-08-17 14:15:39,Southern District,LAA #2 Flow at Fairmont Res.,279.9
2018-08-17 14:15:39,Southern District,Bouquet Reservoir Inflow,0.2
2018-08-17 14:15:39,Southern District,Bouquet Reservoir Outflow,0.6
2018-08-17 14:15:39,Mono Basin,Lee Vining Intake Above Flow,71.1
2018-08-17 14:15:39,Mono Basin,Lee Vining Intake Below Flow,66.8
2018-08-17 14:15:39,Mono Basin,Walker Ck. Above Conduit Flow,6.0
2018-08-17 14:15:39,Mono Basin,L.V. Conduit Below Intake Flow,0.8
2018-08-17 14:15:39,Mono Basin,Walker Ck. Under Conduit Flow,6.0
2018-08-17 14:15:39,Mono Basin,Parker Ck. Under Conduit Flow,16.0
2018-08-17 14:15:39,Mono Basin,Parker Ck. Above Conduit Flow,17.0
2018-08-17 14:15:39,Mono Basin,Grant Lk. Spill Flow,0.0
2018-08-17 14:15:39,Mono Basin,Mono Gate 1 Return Ditch Flow,81.2
2018-08-17 14:15:39,Mono Basin,Grant Lk. Outflow,107.7
2018-08-17 14:15:39,Mono Basin,Rush Ck. at Damsite Flow,28.3
2018-08-17 14:15:39,Mono Basin,Flow to West Portal,22.5
2018-08-17 14:15:39,Southern Owens Valley,Indep. Ck. At Junction Flow,7.4
2018-08-17 14:15:39,Southern Owens Valley,LAA at Alabama Flow,562.0
2018-08-17 14:15:39,Southern Owens Valley,Cottonwood Ck. At LAA Flow,9.0
2018-08-17 14:15:39,Southern Owens Valley,LAA at Cottonwood Flow,550.0
2018-08-17 14:15:39,Southern Owens Valley,Haiwee LAA #1 Current Flow,348.5
2018-08-17 14:15:39,Southern Owens Valley,Haiwee LAA #2 Current Flow,269.8
2018-08-17 14:15:39,Southern Owens Valley,Reinhackel Flow,2.5
2018-08-17 14:15:39,Southern Owens Valley,Lubkin Spillgate Outflow,2.6
2018-08-17 14:15:39,Southern Owens Valley,Cartago Spillgate Outflow,16.3
2018-08-17 14:15:40,Southern District,S. Haiwee Reservoir Elevation,3780.9
2018-08-17 14:15:40,Southern District,Fairmont Reservoir Elevation,3027.4
2018-08-17 14:15:40,Southern District,Bouquet Reservoir Elevation,2982.6
2018-08-17 14:15:40,Mono Basin,Mono Lk. Elevation,6381.6
2018-08-17 14:15:40,Mono Basin,Grant Lk. Elevation,7126.5
2018-08-17 14:15:40,Northern Owens Valley,Tinemaha Elevation,3861.0
