date,district,source,value
2023-12-19 00:34:24,Mono Basin,Lee Vining Intake Above Flow,27.6
2023-12-19 00:34:24,Mono Basin,Lee Vining Intake Below Flow,32.0
2023-12-19 00:34:24,Mono Basin,Walker Ck. Above Conduit Flow,5.0
2023-12-19 00:34:24,Mono Basin,L.V. Conduit Below Intake Flow,0.0
2023-12-19 00:34:24,Mono Basin,Walker Ck. Under Conduit Flow,5.0
2023-12-19 00:34:24,Mono Basin,Parker Ck. Under Conduit Flow,6.0
2023-12-19 00:34:24,Mono Basin,Parker Ck. Above Conduit Flow,6.0
2023-12-19 00:34:24,Mono Basin,Grant Lk. Spill Flow,0.0
2023-12-19 00:34:24,Mono Basin,Mono Gate 1 Return Ditch Flow,27.4
2023-12-19 00:34:24,Mono Basin,Grant Lk. Outflow,23.2
2023-12-19 00:34:24,Mono Basin,Rush Ck. at Damsite Flow,14.3
2023-12-19 00:34:24,Mono Basin,Flow to West Portal,0.0
2023-12-19 00:34:24,Long Valley,East Portal Flow,13.0
2023-12-19 00:34:24,Long Valley,OR Below EP Flow,77.0
2023-12-19 00:34:24,Long Valley,Hot Ck.at Hwy. Flow,11.0
2023-12-19 00:34:24,Long Valley,McGee Ck. Lower Sta. Flow,17.2
2023-12-19 00:34:24,Long Valley,Long Valley Current Outflow,0.1
2023-12-19 00:34:24,Long Valley,Rock Ck. Div. Flow,2.9
2023-12-19 00:34:24,Long Valley,Upper Gorge Total Release,55.1
2023-12-19 00:34:24,Long Valley,Release at Middle Gorge,0.0
2023-12-19 00:34:24,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,53.0
2023-12-19 00:34:24,Northern Owens Valley,Pleasant Valley Outflow,330.0
2023-12-19 00:34:24,Northern Owens Valley,Baker Ck. At LA Station Flow,10.0
2023-12-19 00:34:24,Northern Owens Valley,Big Pine Ck. USGS Flow,19.8
2023-12-19 00:34:24,Northern Owens Valley,O.R. Below Big Pine,421.3
2023-12-19 00:34:24,Northern Owens Valley,Fish Springs At RR Flow,45.2
2023-12-19 00:34:24,Northern Owens Valley,Tinemaha Reservoir Outflow,426.0
2023-12-19 00:34:24,Northern Owens Valley,Bishop Creek Through Plant 6,70.9
2023-12-19 00:34:24,Northern Owens Valley,Bishop Creek Around Plant 6,3.6
2023-12-19 00:34:24,Southern Owens Valley,Tinemaha Reservoir Outflow,426.0
2023-12-19 00:34:24,Southern Owens Valley,Indep. Ck. At Junction Flow,4.9
2023-12-19 00:34:24,Southern Owens Valley,LAA at Alabama Flow,450.0
2023-12-19 00:34:24,Southern Owens Valley,LAA at Alabama Level,8.0
2023-12-19 00:34:24,Southern Owens Valley,LAA at Alabama Water Temp,42.6
2023-12-19 00:34:24,Southern Owens Valley,Cottonwood Ck. At LAA Flow,10.0
2023-12-19 00:34:24,Southern Owens Valley,LAA at Cottonwood Flow,476.0
2023-12-19 00:34:24,Southern Owens Valley,LAA at Cottonwood Level,8.9
2023-12-19 00:34:24,Southern Owens Valley,LAA at Cotton. Water Temp,44.3
2023-12-19 00:34:24,Southern Owens Valley,N. Haiwee Elevation,3756.8
2023-12-19 00:34:24,Southern Owens Valley,Haiwee LAA #1 Current Flow,230.3
2023-12-19 00:34:24,Southern Owens Valley,Haiwee LAA #2 Current Flow,256.4
2023-12-19 00:34:24,Southern Owens Valley,Reinhackel Flow,2.3
2023-12-19 00:34:24,Southern Owens Valley,Lubkin Spillgate Outflow,0.0
2023-12-19 00:34:24,Southern Owens Valley,Cartago Spillgate Outflow,0.0
2023-12-19 00:34:24,Southern Owens Valley,Lone Pine Creek Flow,5.7
2023-12-19 00:34:24,Lower Owens River Project,LORP Intake Flow,49.0
2023-12-19 00:34:24,Lower Owens River Project,LORP at Mazourka Canyon Road,60.0
2023-12-19 00:34:24,Lower Owens River Project,LORP at Reinhackle Springs,68.0
2023-12-19 00:34:24,Lower Owens River Project,LORP Above Pumpstation,82.0
2023-12-19 00:34:24,Lower Owens River Project,LORP At Pump Station Discharge Flow,48.0
2023-12-19 00:34:24,Southern District,Haiwee LAA #2 Current Flow,256.4
2023-12-19 00:34:24,Southern District,Haiwee LAA #1 Current Flow,230.3
2023-12-19 00:34:24,Southern District,LAA #1 Flow at Fairmont Reservoir,230.8
2023-12-19 00:34:24,Southern District,LAA #2 Flow at Fairmont Res.,282.7
2023-12-19 00:34:24,Southern District,Bouquet Reservoir Inflow,90.7
2023-12-19 00:34:24,Southern District,Bouquet Reservoir Outflow,0.7
2023-12-19 00:34:24,Southern District,LAA #1 at Soledad Flow,215.6
2023-12-19 00:34:24,Southern District,LAA #2 at Soledad Flow,203.4
2023-12-19 00:34:25,Mono Basin,Mono Lk. Elevation,6382.7
2023-12-19 00:34:25,Mono Basin,Grant Lk. Elevation,7124.1
2023-12-19 00:34:25,Long Valley,Long Valley Elevation,6775.2
2023-12-19 00:34:25,Northern Owens Valley,Pleasant Valley Elevation,4386.9
2023-12-19 00:34:25,Southern Owens Valley,S. Haiwee Reservoir Elevation,3741.0
2023-12-19 00:34:25,Southern District,S. Haiwee Reservoir Elevation,3741.0
2023-12-19 00:34:25,Southern District,Fairmont Reservoir Elevation,3024.2
2023-12-19 00:34:25,Southern District,Bouquet Reservoir Elevation,2987.9
2023-12-19 01:19:28,Northern Owens Valley,Tinemaha Elevation,3864.2
2023-12-19 01:19:28,Southern Owens Valley,Tinemaha Elevation,3864.2
2023-12-19 01:34:26,Mono Basin,Lee Vining Intake Above Flow,27.6
2023-12-19 01:34:26,Mono Basin,Lee Vining Intake Below Flow,32.0
2023-12-19 01:34:26,Mono Basin,Walker Ck. Above Conduit Flow,5.0
2023-12-19 01:34:26,Mono Basin,L.V. Conduit Below Intake Flow,0.0
2023-12-19 01:34:26,Mono Basin,Walker Ck. Under Conduit Flow,5.0
2023-12-19 01:34:26,Mono Basin,Parker Ck. Under Conduit Flow,6.0
2023-12-19 01:34:26,Mono Basin,Parker Ck. Above Conduit Flow,6.0
2023-12-19 01:34:26,Mono Basin,Grant Lk. Spill Flow,0.0
2023-12-19 01:34:26,Mono Basin,Mono Gate 1 Return Ditch Flow,27.2
2023-12-19 01:34:26,Mono Basin,Grant Lk. Outflow,22.8
2023-12-19 01:34:26,Mono Basin,Rush Ck. at Damsite Flow,14.3
2023-12-19 01:34:26,Mono Basin,Flow to West Portal,0.0
2023-12-19 01:34:26,Long Valley,East Portal Flow,13.0
2023-12-19 01:34:26,Long Valley,OR Below EP Flow,77.0
2023-12-19 01:34:26,Long Valley,Hot Ck.at Hwy. Flow,11.0
2023-12-19 01:34:26,Long Valley,McGee Ck. Lower Sta. Flow,17.2
2023-12-19 01:34:26,Long Valley,Long Valley Current Outflow,0.1
2023-12-19 01:34:26,Long Valley,Rock Ck. Div. Flow,2.9
2023-12-19 01:34:26,Long Valley,Upper Gorge Total Release,55.4
2023-12-19 01:34:26,Long Valley,Release at Middle Gorge,0.0
2023-12-19 01:34:26,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,53.0
2023-12-19 01:34:26,Northern Owens Valley,Pleasant Valley Outflow,327.1
2023-12-19 01:34:26,Northern Owens Valley,Baker Ck. At LA Station Flow,10.0
2023-12-19 01:34:26,Northern Owens Valley,Big Pine Ck. USGS Flow,19.8
2023-12-19 01:34:26,Northern Owens Valley,O.R. Below Big Pine,420.6
2023-12-19 01:34:26,Northern Owens Valley,Fish Springs At RR Flow,45.3
2023-12-19 01:34:26,Northern Owens Valley,Tinemaha Reservoir Outflow,426.8
2023-12-19 01:34:26,Northern Owens Valley,Bishop Creek Through Plant 6,70.9
2023-12-19 01:34:26,Northern Owens Valley,Bishop Creek Around Plant 6,3.6
2023-12-19 01:34:26,Southern Owens Valley,Tinemaha Reservoir Outflow,426.8
2023-12-19 01:34:26,Southern Owens Valley,Indep. Ck. At Junction Flow,4.9
2023-12-19 01:34:26,Southern Owens Valley,LAA at Alabama Flow,455.0
2023-12-19 01:34:26,Southern Owens Valley,Cottonwood Ck. At LAA Flow,10.0
2023-12-19 01:34:26,Southern Owens Valley,LAA at Cottonwood Flow,473.0
2023-12-19 01:34:26,Southern Owens Valley,Haiwee LAA #1 Current Flow,228.5
2023-12-19 01:34:26,Southern Owens Valley,Haiwee LAA #2 Current Flow,255.9
2023-12-19 01:34:26,Southern Owens Valley,Reinhackel Flow,2.3
2023-12-19 01:34:26,Southern Owens Valley,Lubkin Spillgate Outflow,0.0
2023-12-19 01:34:26,Southern Owens Valley,Cartago Spillgate Outflow,0.0
2023-12-19 01:34:26,Southern Owens Valley,Lone Pine Creek Flow,5.7
2023-12-19 01:34:26,Lower Owens River Project,LORP Intake Flow,49.0
2023-12-19 01:34:26,Lower Owens River Project,LORP at Mazourka Canyon Road,59.0
2023-12-19 01:34:26,Lower Owens River Project,LORP at Reinhackle Springs,69.0
2023-12-19 01:34:26,Lower Owens River Project,LORP Above Pumpstation,83.0
2023-12-19 01:34:26,Lower Owens River Project,LORP At Pump Station Discharge Flow,48.0
2023-12-19 01:34:26,Southern District,Haiwee LAA #2 Current Flow,255.9
2023-12-19 01:34:26,Southern District,Haiwee LAA #1 Current Flow,228.5
2023-12-19 01:34:26,Southern District,LAA #1 Flow at Fairmont Reservoir,230.0
2023-12-19 01:34:26,Southern District,LAA #2 Flow at Fairmont Res.,283.3
2023-12-19 01:34:26,Southern District,Bouquet Reservoir Inflow,95.2
2023-12-19 01:34:26,Southern District,Bouquet Reservoir Outflow,0.7
2023-12-19 01:34:26,Southern District,LAA #1 at Soledad Flow,215.6
2023-12-19 01:34:26,Southern District,LAA #2 at Soledad Flow,203.4
2023-12-19 01:34:27,Mono Basin,Mono Lk. Elevation,6382.7
2023-12-19 01:34:27,Mono Basin,Grant Lk. Elevation,7124.1
