date,district,source,value
2023-12-05 00:35:01,Mono Basin,Lee Vining Intake Above Flow,35.7
2023-12-05 00:35:01,Mono Basin,Lee Vining Intake Below Flow,39.5
2023-12-05 00:35:01,Mono Basin,Walker Ck. Above Conduit Flow,4.0
2023-12-05 00:35:01,Mono Basin,L.V. Conduit Below Intake Flow,0.0
2023-12-05 00:35:01,Mono Basin,Walker Ck. Under Conduit Flow,4.0
2023-12-05 00:35:01,Mono Basin,Parker Ck. Under Conduit Flow,6.0
2023-12-05 00:35:01,Mono Basin,Parker Ck. Above Conduit Flow,7.0
2023-12-05 00:35:01,Mono Basin,Grant Lk. Spill Flow,0.0
2023-12-05 00:35:01,Mono Basin,Mono Gate 1 Return Ditch Flow,27.2
2023-12-05 00:35:01,Mono Basin,Grant Lk. Outflow,23.9
2023-12-05 00:35:01,Mono Basin,Rush Ck. at Damsite Flow,9.9
2023-12-05 00:35:01,Mono Basin,Flow to West Portal,0.0
2023-12-05 00:35:01,Long Valley,East Portal Flow,13.0
2023-12-05 00:35:01,Long Valley,OR Below EP Flow,75.0
2023-12-05 00:35:01,Long Valley,Hot Ck.at Hwy. Flow,12.0
2023-12-05 00:35:01,Long Valley,McGee Ck. Lower Sta. Flow,17.6
2023-12-05 00:35:01,Long Valley,Long Valley Current Outflow,255.3
2023-12-05 00:35:01,Long Valley,Rock Ck. Div. Flow,2.8
2023-12-05 00:35:01,Long Valley,Upper Gorge Total Release,54.7
2023-12-05 00:35:01,Long Valley,Release at Middle Gorge,0.0
2023-12-05 00:35:01,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,54.2
2023-12-05 00:35:01,Northern Owens Valley,Pleasant Valley Outflow,469.0
2023-12-05 00:35:01,Northern Owens Valley,Baker Ck. At LA Station Flow,10.8
2023-12-05 00:35:01,Northern Owens Valley,Big Pine Ck. USGS Flow,22.4
2023-12-05 00:35:01,Northern Owens Valley,O.R. Below Big Pine,519.6
2023-12-05 00:35:01,Northern Owens Valley,Fish Springs At RR Flow,45.7
2023-12-05 00:35:01,Northern Owens Valley,Tinemaha Reservoir Outflow,525.9
2023-12-05 00:35:01,Northern Owens Valley,Bishop Creek Through Plant 6,70.2
2023-12-05 00:35:01,Northern Owens Valley,Bishop Creek Around Plant 6,3.2
2023-12-05 00:35:01,Southern Owens Valley,Tinemaha Reservoir Outflow,525.9
2023-12-05 00:35:01,Southern Owens Valley,Indep. Ck. At Junction Flow,5.4
2023-12-05 00:35:01,Southern Owens Valley,LAA at Alabama Flow,516.0
2023-12-05 00:35:01,Southern Owens Valley,Cottonwood Ck. At LAA Flow,11.0
2023-12-05 00:35:01,Southern Owens Valley,LAA at Cottonwood Flow,562.0
2023-12-05 00:35:01,Southern Owens Valley,Haiwee LAA #1 Current Flow,230.1
2023-12-05 00:35:01,Southern Owens Valley,Haiwee LAA #2 Current Flow,262.3
2023-12-05 00:35:01,Southern Owens Valley,Reinhackel Flow,2.3
2023-12-05 00:35:01,Southern Owens Valley,Lubkin Spillgate Outflow,0.0
2023-12-05 00:35:01,Southern Owens Valley,Cartago Spillgate Outflow,10.1
2023-12-05 00:35:01,Southern Owens Valley,Lone Pine Creek Flow,6.2
2023-12-05 00:35:01,Lower Owens River Project,LORP Intake Flow,50.0
2023-12-05 00:35:01,Lower Owens River Project,LORP at Mazourka Canyon Road,70.0
2023-12-05 00:35:01,Lower Owens River Project,LORP at Reinhackle Springs,82.0
2023-12-05 00:35:01,Lower Owens River Project,LORP Above Pumpstation,76.0
2023-12-05 00:35:01,Lower Owens River Project,LORP At Pump Station Discharge Flow,49.0
2023-12-05 00:35:01,Southern District,Haiwee LAA #2 Current Flow,262.3
2023-12-05 00:35:01,Southern District,Haiwee LAA #1 Current Flow,230.1
