date,district,source,value
2018-08-20 00:30:41,Lower Owens River Project,LORP Intake Flow,74.0
2018-08-20 00:30:41,Lower Owens River Project,LORP at Mazourka Canyon Road,57.0
2018-08-20 00:30:41,Lower Owens River Project,LORP at Reinhackle Springs,48.0
2018-08-20 00:30:41,Lower Owens River Project,LORP Above Pumpstation,40.0
2018-08-20 00:30:41,Lower Owens River Project,LORP At Pump Station Discharge Flow,32.0
2018-08-20 00:30:41,Southern District,Haiwee LAA #2 Current Flow,272.2
2018-08-20 00:30:41,Southern District,Haiwee LAA #1 Current Flow,345.6
2018-08-20 00:30:41,Southern District,LAA #1 Flow at Fairmont Reservoir,389.0
2018-08-20 00:30:41,Southern District,LAA #2 Flow at Fairmont Res.,284.5
2018-08-20 00:30:41,Southern District,Bouquet Reservoir Inflow,0.0
2018-08-20 00:30:41,Southern District,Bouquet Reservoir Outflow,0.5
2018-08-20 00:30:41,Southern District,LAA #1 at Soledad Flow,384.4
2018-08-20 00:30:41,Southern District,LAA #2 at Soledad Flow,275.6
2018-08-20 00:30:41,Southern Owens Valley,Tinemaha Reservoir Outflow,406.7
2018-08-20 00:30:41,Southern Owens Valley,Indep. Ck. At Junction Flow,6.6
2018-08-20 00:30:41,Southern Owens Valley,LAA at Alabama Flow,471.0
2018-08-20 00:30:41,Southern Owens Valley,Cottonwood Ck. At LAA Flow,3.0
2018-08-20 00:30:41,Southern Owens Valley,LAA at Cottonwood Flow,456.0
2018-08-20 00:30:41,Southern Owens Valley,LAA at Cotton. Water Temp,75.8
2018-08-20 00:30:41,Southern Owens Valley,Haiwee LAA #1 Current Flow,345.6
2018-08-20 00:30:41,Southern Owens Valley,Haiwee LAA #2 Current Flow,272.2
2018-08-20 00:30:41,Southern Owens Valley,Reinhackel Flow,2.5
2018-08-20 00:30:41,Southern Owens Valley,Lubkin Spillgate Outflow,6.2
2018-08-20 00:30:41,Southern Owens Valley,Cartago Spillgate Outflow,0.0
2018-08-20 00:30:41,Mono Basin,Lee Vining Intake Above Flow,68.1
2018-08-20 00:30:41,Mono Basin,Lee Vining Intake Below Flow,63.9
2018-08-20 00:30:41,Mono Basin,Walker Ck. Above Conduit Flow,5.0
2018-08-20 00:30:41,Mono Basin,L.V. Conduit Below Intake Flow,0.8
2018-08-20 00:30:41,Mono Basin,Walker Ck. Under Conduit Flow,5.0
2018-08-20 00:30:41,Mono Basin,Parker Ck. Under Conduit Flow,15.0
2018-08-20 00:30:41,Mono Basin,Parker Ck. Above Conduit Flow,15.0
2018-08-20 00:30:41,Mono Basin,Grant Lk. Spill Flow,0.0
2018-08-20 00:30:41,Mono Basin,Mono Gate 1 Return Ditch Flow,81.0
2018-08-20 00:30:41,Mono Basin,Grant Lk. Outflow,108.0
2018-08-20 00:30:41,Mono Basin,Rush Ck. at Damsite Flow,27.2
2018-08-20 00:30:41,Mono Basin,Flow to West Portal,23.2
2018-08-20 00:30:41,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,42.0
2018-08-20 00:30:41,Northern Owens Valley,Pleasant Valley Outflow,561.2
2018-08-20 00:30:41,Northern Owens Valley,Baker Ck. At LA Station Flow,3.7
2018-08-20 00:30:41,Northern Owens Valley,Big Pine Ck. USGS Flow,48.3
2018-08-20 00:30:41,Northern Owens Valley,O.R. Below Big Pine,580.4
2018-08-20 00:30:41,Northern Owens Valley,Fish Springs At RR Flow,41.6
2018-08-20 00:30:41,Northern Owens Valley,Tinemaha Reservoir Outflow,406.7
2018-08-20 00:30:41,Northern Owens Valley,Bishop Creek Through Plant 6,138.1
2018-08-20 00:30:41,Northern Owens Valley,Bishop Creek Around Plant 6,4.6
2018-08-20 00:30:41,Long Valley,East Portal Flow,36.0
2018-08-20 00:30:41,Long Valley,OR Below EP Flow,117.0
2018-08-20 00:30:41,Long Valley,Hot Ck.at Hwy. Flow,11.0
2018-08-20 00:30:41,Long Valley,McGee Ck. Lower Sta. Flow,20.9
2018-08-20 00:30:41,Long Valley,Long Valley Current Outflow,500.0
2018-08-20 00:30:41,Long Valley,Rock Ck. Div. Flow,1.7
2018-08-20 00:30:41,Long Valley,Upper Gorge at TRS,99.4
2018-08-20 00:30:42,Southern District,S. Haiwee Reservoir Elevation,3780.9
2018-08-20 00:30:42,Southern District,Fairmont Reservoir Elevation,3025.6
2018-08-20 00:30:42,Southern District,Bouquet Reservoir Elevation,2982.5
2018-08-20 00:30:42,Southern Owens Valley,LAA at Alabama Level,7.6
2018-08-20 00:30:42,Southern Owens Valley,LAA at Alabama Water Temp,75.8
2018-08-20 00:30:42,Southern Owens Valley,LAA at Cottonwood Level,8.6
2018-08-20 00:30:42,Southern Owens Valley,N. Haiwee Elevation,3756.7
2018-08-20 00:30:42,Southern Owens Valley,S. Haiwee Reservoir Elevation,3780.9
2018-08-20 00:30:42,Mono Basin,Mono Lk. Elevation,6381.6
2018-08-20 00:30:42,Mono Basin,Grant Lk. Elevation,7126.1
2018-08-20 00:30:42,Northern Owens Valley,Pleasant Valley Elevation,4382.4
2018-08-20 00:30:42,Long Valley,Long Valley Elevation,6772.9
2018-08-20 01:30:41,Lower Owens River Project,LORP Intake Flow,74.0
2018-08-20 01:30:41,Lower Owens River Project,LORP at Mazourka Canyon Road,57.0
2018-08-20 01:30:41,Lower Owens River Project,LORP at Reinhackle Springs,48.0
2018-08-20 01:30:41,Lower Owens River Project,LORP Above Pumpstation,41.0
2018-08-20 01:30:41,Lower Owens River Project,LORP At Pump Station Discharge Flow,33.0
2018-08-20 01:30:41,Southern District,Haiwee LAA #2 Current Flow,272.2
2018-08-20 01:30:41,Southern District,Haiwee LAA #1 Current Flow,345.6
2018-08-20 01:30:41,Southern District,LAA #1 Flow at Fairmont Reservoir,389.3
2018-08-20 01:30:41,Southern District,LAA #2 Flow at Fairmont Res.,283.9
2018-08-20 01:30:41,Southern District,Bouquet Reservoir Inflow,0.0
2018-08-20 01:30:41,Southern District,Bouquet Reservoir Outflow,0.5
2018-08-20 01:30:41,Southern District,LAA #1 at Soledad Flow,384.4
2018-08-20 01:30:41,Southern District,LAA #2 at Soledad Flow,275.6
2018-08-20 01:30:41,Southern Owens Valley,Tinemaha Reservoir Outflow,406.7
2018-08-20 01:30:41,Southern Owens Valley,Indep. Ck. At Junction Flow,6.6
2018-08-20 01:30:41,Southern Owens Valley,LAA at Alabama Flow,471.0
2018-08-20 01:30:41,Southern Owens Valley,Cottonwood Ck. At LAA Flow,3.0
2018-08-20 01:30:41,Southern Owens Valley,LAA at Cottonwood Flow,456.0
2018-08-20 01:30:41,Southern Owens Valley,Haiwee LAA #1 Current Flow,345.6
2018-08-20 01:30:41,Southern Owens Valley,Haiwee LAA #2 Current Flow,272.2
2018-08-20 01:30:41,Southern Owens Valley,Reinhackel Flow,2.5
2018-08-20 01:30:41,Southern Owens Valley,Lubkin Spillgate Outflow,0.5
2018-08-20 01:30:41,Southern Owens Valley,Cartago Spillgate Outflow,1.1
2018-08-20 01:30:41,Mono Basin,Lee Vining Intake Above Flow,68.1
2018-08-20 01:30:41,Mono Basin,Lee Vining Intake Below Flow,63.9
2018-08-20 01:30:41,Mono Basin,Walker Ck. Above Conduit Flow,15.0
2018-08-20 01:30:41,Mono Basin,L.V. Conduit Below Intake Flow,0.8
2018-08-20 01:30:41,Mono Basin,Walker Ck. Under Conduit Flow,15.0
2018-08-20 01:30:41,Mono Basin,Parker Ck. Under Conduit Flow,0.0
2018-08-20 01:30:41,Mono Basin,Parker Ck. Above Conduit Flow,0.0
2018-08-20 01:30:41,Mono Basin,Grant Lk. Spill Flow,0.0
2018-08-20 01:30:41,Mono Basin,Mono Gate 1 Return Ditch Flow,81.0
2018-08-20 01:30:41,Mono Basin,Grant Lk. Outflow,108.2
2018-08-20 01:30:41,Mono Basin,Rush Ck. at Damsite Flow,0.0
2018-08-20 01:30:41,Mono Basin,Flow to West Portal,0.0
2018-08-20 01:30:41,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,42.0
2018-08-20 01:30:41,Northern Owens Valley,Pleasant Valley Outflow,561.5
2018-08-20 01:30:41,Northern Owens Valley,Baker Ck. At LA Station Flow,3.7
2018-08-20 01:30:41,Northern Owens Valley,Big Pine Ck. USGS Flow,48.3
2018-08-20 01:30:41,Northern Owens Valley,O.R. Below Big Pine,580.5
2018-08-20 01:30:41,Northern Owens Valley,Fish Springs At RR Flow,41.6
